hotel_type,booking_status,advance_booking_days,arrival_year,arrival_month,arrival_week,arrival_day,weekend_nights,weekday_nights,num_adults,num_children,num_infants,meal_plan,guest_country,booking_segment,booking_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room,assigned_room,modifications,deposit_type,travel_agent_id,corporate_id,waiting_days,customer_category,avg_daily_rate,parking_spaces,special_requests,reservation_status,reservation_date,total_stay_nights,booking_season,family_booking,total_guests,is_long_stay,total_revenue,occupancy_rate,weekend_ratio,cancellation_risk
Urban Hotel,False,3,2016,November,46,9,0,4,2,2.0,0,SB,FRA,Online TA,TA/TO,False,0,0,F,F,0,No Deposit,9.0,Not Applicable,0,Regular,246.25,0,1,Checked-Out,13-11-2016,4,Autumn,True,4.0,False,985.0,1.0,0.0,Very Low
Urban Hotel,True,52,2016,December,50,7,0,3,2,0.0,0,SC,ITA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,79.2,0,2,Cancelled,18-10-2016,3,Winter,False,2.0,False,237.60000000000002,0.5,0.0,Medium
Luxury Resort,False,28,2017,March,11,17,2,5,2,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,68.0,0,0,Checked-Out,24-03-2017,7,Spring,False,2.0,True,476.0,0.5,0.285673475217826,Low
Luxury Resort,False,96,2017,March,11,12,4,7,1,0.0,0,HB,GBR,Group Bookings,TA/TO,False,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular-Party,33.27,0,0,Checked-Out,23-03-2017,11,Spring,False,1.0,True,365.97,0.25,0.36360330879011,High
Urban Hotel,False,35,2015,October,42,17,1,1,2,0.0,0,SB,NLD,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,104.85,1,1,Checked-Out,19-10-2015,2,Autumn,False,2.0,False,209.7,0.5,0.49975012493753124,Medium
Urban Hotel,True,51,2016,August,34,18,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,125.1,0,0,Cancelled,08-07-2016,2,Summer,False,2.0,False,250.2,0.5,0.0,Medium
Luxury Resort,False,4,2016,March,13,21,1,0,1,0.0,0,SB,PRT,Corporate,Corporate,False,0,0,A,A,0,No Deposit,,154.0,0,Regular,27.0,0,0,Checked-Out,22-03-2016,1,Spring,False,1.0,False,27.0,0.25,0.9990009990009991,Very Low
Urban Hotel,True,121,2017,August,32,10,2,5,2,0.0,0,SB,BEL,Direct,Direct,False,0,0,A,A,0,No Deposit,14.0,Not Applicable,0,Regular,112.5,0,0,Cancelled,18-04-2017,7,Summer,False,2.0,True,787.5,0.5,0.285673475217826,High
Urban Hotel,False,207,2017,February,8,24,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,False,0,0,A,G,0,No Deposit,9.0,Not Applicable,0,Regular,79.2,0,1,Checked-Out,26-02-2017,2,Winter,False,2.0,False,158.4,0.5,0.0,High
Luxury Resort,False,0,2017,February,8,20,1,0,1,0.0,0,SB,ESP,Direct,Direct,False,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,48.0,0,0,Checked-Out,21-02-2017,1,Winter,False,1.0,False,48.0,0.25,0.9990009990009991,
Urban Hotel,True,95,2016,May,19,7,0,1,2,0.0,0,SB,ESP,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,126.9,0,0,Cancelled,28-03-2016,1,Spring,False,2.0,False,126.9,0.5,0.0,High
Urban Hotel,False,17,2017,April,17,28,1,2,2,0.0,1,SB,FRA,Online TA,TA/TO,False,0,0,D,D,3,No Deposit,9.0,Not Applicable,0,Regular,130.5,0,2,Checked-Out,01-05-2017,3,Spring,True,3.0,False,391.5,0.5,0.33322225924691773,Low
Urban Hotel,False,44,2015,August,34,22,2,1,2,0.0,0,HB,ITA,Group Bookings,TA/TO,False,0,0,A,A,0,No Deposit,1.0,Not Applicable,0,Regular-Party,86.0,0,0,Checked-Out,25-08-2015,3,Summer,False,2.0,False,258.0,0.5,0.6664445184938355,Medium
Luxury Resort,True,1,2017,June,22,2,0,2,1,0.0,0,SB,ESP,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,348.0,Not Applicable,0,Regular,105.0,0,0,Cancelled,01-06-2017,2,Summer,False,1.0,False,210.0,0.25,0.0,Very Low
Luxury Resort,False,214,2016,April,16,11,2,5,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,52.2,0,2,Checked-Out,18-04-2016,7,Spring,False,2.0,True,365.40000000000003,0.5,0.285673475217826,High
Urban Hotel,True,39,2017,March,12,24,1,2,2,0.0,0,SC,BRA,Online TA,TA/TO,False,0,0,A,B,1,No Deposit,9.0,Not Applicable,0,Regular,91.33,0,3,No-Show,24-03-2017,3,Spring,False,2.0,False,273.99,0.5,0.33322225924691773,Medium
Urban Hotel,False,377,2016,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,6.0,Not Applicable,0,Regular-Party,115.0,0,1,Checked-Out,16-10-2016,2,Autumn,False,2.0,False,230.0,0.5,0.0,
Luxury Resort,False,139,2015,July,28,8,2,6,2,1.0,0,HB,PRT,Direct,Direct,False,0,0,A,A,2,No Deposit,250.0,Not Applicable,0,Regular,107.2,0,1,Checked-Out,16-07-2015,8,Summer,True,3.0,True,857.6,0.75,0.2499687539057618,High
Urban Hotel,False,67,2016,April,16,11,1,4,2,0.0,0,SB,ITA,Direct,Direct,False,0,0,D,D,0,No Deposit,14.0,Not Applicable,0,Regular,107.1,0,1,Checked-Out,16-04-2016,5,Spring,False,2.0,False,535.5,0.5,0.1999600079984003,Medium
Luxury Resort,False,3,2016,December,52,18,1,0,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,69.0,1,1,Checked-Out,19-12-2016,1,Winter,False,2.0,False,69.0,0.5,0.9990009990009991,Very Low
Urban Hotel,False,1,2017,June,26,28,0,1,2,2.0,0,SB,PRT,Complementary,TA/TO,False,0,0,E,E,0,No Deposit,83.0,Not Applicable,0,Regular,100.44,0,1,Checked-Out,29-06-2017,1,Summer,True,4.0,False,100.44,1.0,0.0,Very Low
Luxury Resort,False,0,2016,November,48,25,0,1,2,0.0,0,SB,CHN,Direct,Direct,False,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,43.0,0,0,Checked-Out,26-11-2016,1,Autumn,False,2.0,False,43.0,0.5,0.0,
Luxury Resort,False,277,2015,October,41,6,2,5,2,0.0,0,HB,GBR,Group Bookings,Direct,False,0,0,D,D,0,No Deposit,273.0,Not Applicable,0,Regular-Party,68.74,0,0,Checked-Out,13-10-2015,7,Autumn,False,2.0,True,481.17999999999995,0.5,0.285673475217826,High
Luxury Resort,True,238,2016,September,37,7,0,3,1,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,D,D,0,Non Refund,1.0,Not Applicable,0,Regular,89.0,0,0,Cancelled,09-02-2016,3,Autumn,False,1.0,False,267.0,0.25,0.0,High
Luxury Resort,True,98,2016,May,22,23,1,4,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,73.0,0,0,Cancelled,04-03-2016,5,Spring,False,2.0,False,365.0,0.5,0.1999600079984003,High
Urban Hotel,True,131,2017,March,9,2,0,1,2,0.0,0,SC,POL,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,79.2,0,2,Cancelled,16-02-2017,1,Spring,False,2.0,False,79.2,0.5,0.0,High
Urban Hotel,False,90,2017,April,15,10,1,2,2,2.0,0,SB,ESP,Direct,Direct,False,0,0,G,G,0,No Deposit,,Not Applicable,0,Regular,216.0,0,0,Checked-Out,13-04-2017,3,Spring,True,4.0,False,648.0,1.0,0.33322225924691773,Medium
Urban Hotel,False,104,2017,June,22,2,1,2,2,0.0,0,SB,FRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,8.0,Not Applicable,0,Regular,144.0,0,0,Checked-Out,05-06-2017,3,Summer,False,2.0,False,432.0,0.5,0.33322225924691773,High
Luxury Resort,False,21,2016,November,49,28,1,1,1,0.0,0,SB,POL,Group Bookings,TA/TO,False,0,0,E,E,0,No Deposit,,Not Applicable,0,Regular,45.0,0,0,Checked-Out,30-11-2016,2,Autumn,False,1.0,False,90.0,0.25,0.49975012493753124,Low
Luxury Resort,True,119,2016,May,19,7,2,2,2,0.0,0,HB,PRT,Online TA,TA/TO,False,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,118.0,0,1,Cancelled,11-01-2016,4,Spring,False,2.0,False,472.0,0.5,0.4998750312421894,High
Urban Hotel,False,273,2016,October,45,31,1,2,2,0.0,0,SB,BEL,Online TA,TA/TO,False,0,0,A,A,1,No Deposit,9.0,Not Applicable,0,Regular,90.3,0,1,Checked-Out,03-11-2016,3,Autumn,False,2.0,False,270.9,0.5,0.33322225924691773,High
Luxury Resort,False,3,2015,October,43,18,1,0,2,0.0,0,SB,GBR,Group Bookings,Corporate,False,0,0,A,E,0,No Deposit,,Not Applicable,0,Regular,76.0,0,0,Checked-Out,19-10-2015,1,Autumn,False,2.0,False,76.0,0.5,0.9990009990009991,Very Low
Urban Hotel,False,161,2016,October,45,31,1,3,2,0.0,0,SC,DEU,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,168.0,Not Applicable,0,Regular,59.5,0,0,Checked-Out,04-11-2016,4,Autumn,False,2.0,False,238.0,0.5,0.2499375156210947,High
Luxury Resort,False,312,2016,May,22,27,2,5,2,0.0,0,SB,GBR,Offline TA/TO,TA/TO,False,0,0,D,D,0,No Deposit,40.0,Not Applicable,0,Corporate Contract,62.48,0,1,Checked-Out,03-06-2016,7,Spring,False,2.0,True,437.35999999999996,0.5,0.285673475217826,High
Luxury Resort,False,12,2015,August,32,2,2,5,2,0.0,1,SB,GBR,Online TA,TA/TO,False,0,0,F,G,0,No Deposit,241.0,Not Applicable,0,Regular,172.63,0,2,Checked-Out,09-08-2015,7,Summer,True,3.0,True,1208.4099999999999,0.5,0.285673475217826,Low
Urban Hotel,True,270,2017,June,25,21,2,4,2,0.0,0,SB,NLD,Direct,Direct,False,0,0,A,A,1,No Deposit,14.0,Not Applicable,0,Regular,105.0,0,0,Cancelled,02-02-2017,6,Summer,False,2.0,False,630.0,0.5,0.33327778703549404,High
Urban Hotel,True,76,2016,September,39,18,2,0,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,83.0,Not Applicable,0,Regular,102.68,0,0,Cancelled,06-07-2016,2,Autumn,False,2.0,False,205.36,0.5,0.9995002498750625,Medium
Urban Hotel,False,17,2017,February,9,26,2,1,1,0.0,0,SB,CHN,Group Bookings,TA/TO,False,0,0,D,D,0,No Deposit,30.0,Not Applicable,0,Regular-Party,75.0,0,0,Checked-Out,01-03-2017,3,Winter,False,1.0,False,225.0,0.25,0.6664445184938355,Low
Urban Hotel,False,151,2016,July,31,29,2,3,3,0.0,0,SB,FRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,103.84,0,2,Checked-Out,03-08-2016,5,Summer,False,3.0,False,519.2,0.75,0.3999200159968006,High
Urban Hotel,False,0,2016,April,17,22,0,2,2,0.0,0,SC,ESP,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,119.0,0,0,Checked-Out,24-04-2016,2,Spring,False,2.0,False,238.0,0.5,0.0,
Urban Hotel,True,27,2016,June,27,26,2,1,2,0.0,0,SB,DEU,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,152.67,0,0,Cancelled,31-05-2016,3,Summer,False,2.0,False,458.01,0.5,0.6664445184938355,Low
Luxury Resort,True,95,2017,April,14,8,2,3,3,1.0,0,SB,PRT,Online TA,TA/TO,False,0,0,H,H,0,No Deposit,240.0,Not Applicable,0,Regular,150.0,0,0,Cancelled,19-01-2017,5,Spring,True,4.0,False,750.0,1.0,0.3999200159968006,High
Urban Hotel,True,10,2016,December,49,1,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,90.33,0,0,Cancelled,24-11-2016,3,Winter,False,2.0,False,270.99,0.5,0.0,Low
Luxury Resort,False,62,2016,October,44,23,1,0,2,0.0,0,SB,DEU,Online TA,TA/TO,False,0,0,A,E,1,No Deposit,240.0,Not Applicable,0,Regular,49.0,0,1,Checked-Out,24-10-2016,1,Autumn,False,2.0,False,49.0,0.5,0.9990009990009991,Medium
Urban Hotel,False,75,2015,September,38,19,2,2,1,0.0,0,SB,ESP,Group Bookings,TA/TO,False,0,0,A,A,1,No Deposit,1.0,Not Applicable,0,Regular-Party,60.0,0,0,Checked-Out,23-09-2015,4,Autumn,False,1.0,False,240.0,0.25,0.4998750312421894,Medium
Urban Hotel,False,11,2015,September,40,30,0,1,2,0.0,0,SB,IRL,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,126.0,0,1,Checked-Out,01-10-2015,1,Autumn,False,2.0,False,126.0,0.5,0.0,Low
Urban Hotel,True,275,2016,June,23,4,1,1,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,Non Refund,5.0,Not Applicable,69,Regular,62.8,0,0,Cancelled,11-11-2015,2,Summer,False,2.0,False,125.6,0.5,0.49975012493753124,High
Urban Hotel,False,36,2016,February,9,22,1,2,2,0.0,0,SB,FRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,82.7,0,1,Checked-Out,25-02-2016,3,Winter,False,2.0,False,248.10000000000002,0.5,0.33322225924691773,Medium
Urban Hotel,True,63,2016,March,14,28,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,80.1,0,0,Cancelled,04-03-2016,2,Spring,False,2.0,False,160.2,0.5,0.49975012493753124,Medium
Luxury Resort,False,8,2017,March,10,8,0,1,1,0.0,0,SB,PRT,Corporate,Corporate,False,0,0,A,D,0,No Deposit,,380.0,0,Regular,35.0,0,0,Checked-Out,09-03-2017,1,Spring,False,1.0,False,35.0,0.25,0.0,Low
Luxury Resort,False,0,2016,March,12,16,0,2,1,0.0,0,SB,Unknown,Complementary,Direct,False,0,0,A,E,1,No Deposit,,Not Applicable,0,Regular,79.49,0,0,Checked-Out,18-03-2016,2,Spring,False,1.0,False,158.98,0.25,0.0,
Urban Hotel,True,212,2017,May,19,8,2,5,2,0.0,0,SC,BRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,111.34,0,0,Cancelled,08-10-2016,7,Spring,False,2.0,True,779.38,0.5,0.285673475217826,High
Urban Hotel,False,42,2015,November,47,16,1,4,2,0.0,0,SB,IRL,Online TA,TA/TO,False,0,0,A,D,0,No Deposit,9.0,Not Applicable,0,Corporate Contract,104.42,0,1,Checked-Out,21-11-2015,5,Autumn,False,2.0,False,522.1,0.5,0.1999600079984003,Medium
Luxury Resort,True,72,2016,February,6,6,2,1,2,0.0,0,HB,PRT,Group Bookings,Direct,False,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular-Party,73.33,0,0,Cancelled,19-01-2016,3,Winter,False,2.0,False,219.99,0.5,0.6664445184938355,Medium
Luxury Resort,True,41,2015,November,46,12,1,3,1,0.0,0,SB,PRT,Corporate,Corporate,False,0,0,A,A,1,No Deposit,,281.0,0,Regular-Party,36.0,0,0,Cancelled,09-11-2015,4,Autumn,False,1.0,False,144.0,0.25,0.2499375156210947,Medium
Luxury Resort,False,84,2017,April,16,18,1,5,1,0.0,0,SB,ITA,Direct,Direct,False,0,0,E,E,1,No Deposit,,Not Applicable,0,Regular-Party,74.6,0,0,Checked-Out,24-04-2017,6,Spring,False,1.0,False,447.59999999999997,0.25,0.16663889351774702,Medium
Urban Hotel,False,29,2016,March,10,5,2,1,1,0.0,0,SB,FRA,Offline TA/TO,TA/TO,False,0,0,A,D,0,No Deposit,28.0,Not Applicable,0,Regular-Party,86.0,0,1,Checked-Out,08-03-2016,3,Spring,False,1.0,False,258.0,0.25,0.6664445184938355,Low
Luxury Resort,False,120,2015,August,32,4,2,5,2,0.0,0,SB,FRA,Offline TA/TO,TA/TO,False,0,0,A,D,0,No Deposit,6.0,Not Applicable,0,Regular-Party,90.95,0,1,Checked-Out,11-08-2015,7,Summer,False,2.0,True,636.65,0.5,0.285673475217826,High
Urban Hotel,True,186,2017,May,22,30,0,2,2,0.0,0,SB,Unknown,Group Bookings,TA/TO,False,0,0,A,A,0,Non Refund,19.0,Not Applicable,0,Regular,130.0,0,0,Cancelled,25-11-2016,2,Spring,False,2.0,False,260.0,0.5,0.0,High
Urban Hotel,False,53,2016,October,42,10,1,3,3,0.0,0,SB,DEU,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,151.2,0,2,Checked-Out,14-10-2016,4,Autumn,False,3.0,False,604.8,0.75,0.2499375156210947,Medium
Urban Hotel,False,18,2016,November,46,11,2,3,2,0.0,0,SB,FRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,93.84,0,1,Checked-Out,16-11-2016,5,Autumn,False,2.0,False,469.20000000000005,0.5,0.3999200159968006,Low
Urban Hotel,True,40,2015,October,43,19,1,2,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,83.0,Not Applicable,0,Corporate Contract,75.6,0,0,Cancelled,14-10-2015,3,Autumn,False,1.0,False,226.79999999999998,0.25,0.33322225924691773,Medium
Urban Hotel,False,192,2017,April,18,30,2,0,2,0.0,0,SB,BEL,Online TA,TA/TO,False,0,0,A,B,1,No Deposit,9.0,Not Applicable,0,Regular,117.0,0,0,Checked-Out,02-05-2017,2,Spring,False,2.0,False,234.0,0.5,0.9995002498750625,High
Luxury Resort,False,0,2016,March,11,10,2,4,1,0.0,0,SB,NLD,Direct,Direct,False,0,0,E,E,0,No Deposit,,Not Applicable,0,Regular,70.0,0,0,Checked-Out,16-03-2016,6,Spring,False,1.0,False,420.0,0.25,0.33327778703549404,
Luxury Resort,False,0,2015,October,44,28,0,1,1,0.0,0,SB,Unknown,Direct,Direct,False,0,0,A,D,0,No Deposit,,Not Applicable,0,Regular,40.0,0,0,Checked-Out,29-10-2015,1,Autumn,False,1.0,False,40.0,0.25,0.0,
Luxury Resort,True,265,2015,September,39,24,1,3,2,0.0,0,HB,BEL,Group Bookings,Corporate,False,14,0,A,A,0,Non Refund,183.0,Not Applicable,0,Regular,89.2,0,0,Cancelled,02-04-2015,4,Autumn,False,2.0,False,356.8,0.5,0.2499375156210947,High
Luxury Resort,False,0,2016,April,16,14,0,1,2,0.0,0,SB,FRA,Direct,TA/TO,True,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,75.0,0,1,Checked-Out,15-04-2016,1,Spring,False,2.0,False,75.0,0.5,0.0,
Urban Hotel,True,461,2016,October,42,13,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,0,0,A,A,0,Non Refund,1.0,Not Applicable,0,Regular,103.84,0,0,Cancelled,21-10-2015,2,Autumn,False,2.0,False,207.68,0.5,0.0,
Urban Hotel,False,50,2016,June,26,22,0,1,2,0.0,0,SB,USA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,76.92,0,1,Checked-Out,23-06-2016,1,Summer,False,2.0,False,76.92,0.5,0.0,Medium
Urban Hotel,True,124,2015,August,32,8,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,17.0,Not Applicable,0,Regular-Party,94.5,0,0,Cancelled,01-08-2015,3,Summer,False,2.0,False,283.5,0.5,0.6664445184938355,High
Urban Hotel,False,144,2016,June,27,27,1,2,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular-Party,96.3,0,1,Checked-Out,30-06-2016,3,Summer,False,2.0,False,288.9,0.5,0.33322225924691773,High
Luxury Resort,False,138,2016,October,44,26,0,4,2,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,68.0,0,4,Checked-Out,30-10-2016,4,Autumn,False,2.0,False,272.0,0.5,0.0,High
Urban Hotel,False,254,2016,September,38,16,0,2,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,3.0,Not Applicable,0,Regular-Party,91.0,0,0,Checked-Out,18-09-2016,2,Autumn,False,1.0,False,182.0,0.25,0.0,High
Luxury Resort,False,36,2015,November,47,20,0,2,2,0.0,0,FB,ESP,Group Bookings,TA/TO,False,0,0,A,A,0,No Deposit,38.0,Not Applicable,0,Regular-Party,64.0,0,0,Checked-Out,22-11-2015,2,Autumn,False,2.0,False,128.0,0.5,0.0,Medium
Urban Hotel,True,45,2017,January,1,4,0,2,1,0.0,0,SB,BRA,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,93.6,0,0,Cancelled,27-11-2016,2,Winter,False,1.0,False,187.2,0.25,0.0,Medium
Luxury Resort,True,275,2015,October,41,4,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,False,26,0,A,A,0,Non Refund,208.0,Not Applicable,0,Regular,50.0,0,0,Cancelled,30-01-2015,2,Autumn,False,2.0,False,100.0,0.5,0.9995002498750625,High
Urban Hotel,False,99,2017,July,29,18,0,5,2,0.0,0,SB,BEL,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,394.0,Not Applicable,0,Regular,80.1,0,0,Checked-Out,23-07-2017,5,Summer,False,2.0,False,400.5,0.5,0.0,High
Urban Hotel,False,5,2015,September,38,19,2,3,2,0.0,0,SB,ESP,Direct,Direct,False,0,0,A,D,0,No Deposit,14.0,Not Applicable,0,Regular,117.8,0,0,Checked-Out,24-09-2015,5,Autumn,False,2.0,False,589.0,0.5,0.3999200159968006,Very Low
Urban Hotel,False,7,2017,March,10,7,0,1,1,0.0,0,SB,GBR,Corporate,Corporate,False,0,0,A,A,1,No Deposit,,435.0,0,Regular,80.0,0,0,Checked-Out,08-03-2017,1,Spring,False,1.0,False,80.0,0.25,0.0,Very Low
Urban Hotel,True,132,2016,July,32,31,2,5,3,0.0,0,SB,ESP,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,140.27,0,0,Cancelled,31-03-2016,7,Summer,False,3.0,True,981.8900000000001,0.75,0.285673475217826,High
Luxury Resort,False,7,2017,March,9,2,1,3,1,0.0,0,SB,GBR,Group Bookings,Corporate,False,0,0,A,A,1,No Deposit,,223.0,0,Regular-Party,29.0,0,0,Checked-Out,06-03-2017,4,Spring,False,1.0,False,116.0,0.25,0.2499375156210947,Very Low
Urban Hotel,False,20,2016,January,4,17,1,0,3,0.0,0,SC,FRA,Direct,Direct,False,0,0,A,D,0,No Deposit,14.0,Not Applicable,0,Regular,104.0,0,0,Checked-Out,18-01-2016,1,Winter,False,3.0,False,104.0,0.75,0.9990009990009991,Low
Luxury Resort,True,215,2016,September,39,19,1,2,2,0.0,0,HB,PRT,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,112.0,0,1,Cancelled,24-02-2016,3,Autumn,False,2.0,False,336.0,0.5,0.33322225924691773,High
Urban Hotel,False,181,2016,May,22,23,1,2,2,0.0,0,SB,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Corporate Contract,118.0,0,2,Checked-Out,26-05-2016,3,Spring,False,2.0,False,354.0,0.5,0.33322225924691773,High
Urban Hotel,True,0,2017,February,5,1,0,1,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,94.0,Not Applicable,0,Group Booking,45.0,0,0,Cancelled,01-02-2017,1,Winter,False,1.0,False,45.0,0.25,0.0,
